Date,Severity,Size,Intensity
2018-02-04,S2,417708.4887283761,994029.3174120659
2018-02-05,S1,5991602.163246578,10173934.991231136
2018-02-05,S2,351642.89982064615,833160.4223619661
2018-02-06,S1,5840387.041004629,10128306.848824017
2018-02-06,S2,513965.4032359791,1352043.7306363008
2018-02-07,S1,5512406.810315511,9535107.24982906
2018-02-07,S2,188957.47283377394,444161.22719716275
2018-02-08,S1,5544051.129112571,9615183.048905715
2018-02-08,S2,318987.2025568456,817096.3509825902
2018-02-09,S1,5853235.444990645,10461371.513424981
2018-02-09,S2,509448.03253600106,1261656.5475080125
2018-02-10,S1,5592772.864465872,10158519.952359458
2018-02-10,S2,1216321.3831877618,3071177.5471977177
2018-02-11,S1,5160129.8161707325,9701257.038430452
2018-02-11,S2,1390151.845055054,3559439.9912797725
2018-02-12,S1,5245703.804759252,9847273.766357528
2018-02-12,S2,1420996.4718638435,3600414.951399663
2018-02-13,S1,6556053.803923269,11420803.121838432
2018-02-13,S2,1252917.7330997605,3127883.857889701
2018-02-14,S1,6499204.651068316,11202415.905703802
2018-02-14,S2,1169957.0010130447,2853083.4571591327
2018-02-15,S1,6737931.915907105,11823182.67748846
2018-02-15,S2,1334873.2957996938,3291175.2311358126
2018-02-16,S1,7697266.395007437,13599170.238527965
2018-02-16,S2,1995576.2533843163,4917719.013980212
2018-02-17,S1,7919585.931462978,14443813.359685952
2018-02-17,S2,1265798.8705174183,3175735.3775396165
2018-02-18,S1,7867470.66750972,14716516.273990983
2018-02-18,S2,2346968.7978143566,5838097.479646908
2018-02-19,S1,7922357.897807186,14163721.571296372
2018-02-19,S2,1912401.9576202675,4617502.290271506
2018-02-20,S1,7265109.180538067,12670095.132242734
2018-02-20,S2,1327477.247773047,3187320.363734304
2018-02-21,S1,6969312.666983656,12282603.888015017
2018-02-21,S2,1152169.8998337851,2762616.0425915285
2018-02-22,S1,5989270.474933903,10371028.514708586
2018-02-22,S2,862146.5294774645,2051627.4328909563
2018-02-23,S1,6868090.296301899,10906930.004491521
2018-02-23,S2,526594.5312326023,1190078.8802118998
2018-02-24,S1,7760214.3370273085,11890909.49138197
2018-02-24,S2,151841.0339947749,351568.30122217454
2018-02-25,S1,9032764.985795027,14115529.481139168
2018-02-25,S2,88242.87683036596,200752.2529077612
2018-02-26,S1,8228266.928879,13059132.892624404
2018-02-26,S2,668289.4732788814,1489459.0380444801
