lon,lat,year,max_intensity
151.875,-37.625,2014,182.5534
151.875,-37.375,2014,182.6796
151.875,-37.125,2014,177.7488
151.875,-36.875,2014,174.5096
151.875,-36.625,2014,214.4115
151.875,-36.375,2016,161.9762
151.875,-36.125,2016,160.1331
151.875,-35.875,2016,138.6551
151.875,-35.625,1998,155.914
151.875,-35.375,2014,174.7145
151.875,-35.125,2014,182.0824
151.875,-34.875,2014,186.9724
151.875,-34.625,2014,185.4098
151.875,-34.375,2014,203.8476
151.875,-34.125,2014,200.6682
151.875,-33.875,2014,187.7055
151.875,-33.625,1998,164.5584
151.875,-33.375,1998,85.7062
151.875,-33.125,2001,76.8246
151.875,-32.875,2001,66.7188
152.125,-54.875,2012,112.5276
152.125,-54.625,2013,93.8601
152.125,-54.375,2002,66.5462
152.125,-54.125,2002,73.5566
152.125,-53.875,2020,82.4915
152.125,-53.625,2002,71.8928
152.125,-53.375,2002,69.7906
152.125,-53.125,2002,106.7005
152.125,-52.875,2002,107.0436
152.125,-52.625,2002,114.7065
152.125,-52.375,2002,106.1569
152.125,-52.125,2002,87.8085
152.125,-51.875,2014,68.3323
152.125,-51.625,1989,97.9624
152.125,-51.375,1989,130.8059
152.125,-51.125,1989,116.3188
152.125,-50.875,1989,112.0638
152.125,-50.625,1989,104.0536
152.125,-50.375,2013,121.976
152.125,-50.125,2013,111.0311
152.125,-49.875,2012,185.2679
152.125,-49.625,1989,165.7283
152.125,-49.375,1989,196.2691
152.125,-49.125,1989,166.9546
152.125,-48.875,2009,88.0561
152.125,-48.625,2012,131.3169
152.125,-48.375,2012,131.0064
152.125,-48.125,2012,79.1882
152.125,-47.875,2013,96.011
152.125,-47.625,1989,131.7509
152.125,-47.375,2018,167.7563
152.125,-47.125,2018,196.0937
152.125,-46.875,2016,257.0084
152.125,-46.625,2016,242.7058
152.125,-46.375,2016,190.0123
152.125,-46.125,2015,152.2817
152.125,-45.875,2015,168.5599
152.125,-45.625,2016,189.851
152.125,-45.375,2016,176.824
152.125,-45.125,2016,180.2397
